Clé;Français (Référence);Espagnol (ES);Allemand (DE);Italien (IT);Catégorie;Instructions
DJ_AutoCue;Auto-Cue;;;;"Auto-Cue";"Traduire le terme (peut rester identique)"
DJ_AutoCue_Detected;Auto-Cue détecté à : {0};;;;"Auto-Cue";"Conserver {0} tel quel"
DJ_AutoCue_Disable;Désactiver Auto-Cue;;;;"Auto-Cue";""
DJ_AutoCue_Enable;Activer Auto-Cue;;;;"Auto-Cue";""
DJ_BPM;BPM: {0};;;;"General";"BPM reste BPM, conserver {0}"
DJ_BPMLabel;BPM: {0};;;;"General";"Conserver {0}"
DJ_BPM_NotDetected;BPM non détecté sur les deux platines.;;;;"General";""
DJ_BPM_Unknown;BPM: --;;;;"General";"Conserver --"
DJ_BPM_Value;BPM: {0:F1};;;;"General";"Conserver {0:F1} tel quel"
DJ_Button_Cue;CUE;;;;"Buttons";"Peut rester CUE"
DJ_Button_Pause;⏸;;;;"Buttons";"Symbole Unicode - laisser identique"
DJ_Button_Play;▶;;;;"Buttons";"Symbole Unicode - laisser identique"
DJ_Button_Stop;⏹;;;;"Buttons";"Symbole Unicode - laisser identique"
DJ_ButtonAddTrack;➕ Ajouter;;;;"Playlist";"Traduire 'Ajouter'"
DJ_ButtonManagePlaylist;📋 Gérer;;;;"Playlist";"Traduire 'Gérer'"
DJ_ButtonReturnSimple;◀ Mode Simple;;;;"General";"Traduire 'Mode Simple'"
DJ_ColumnBPM;BPM;;;;"Playlist";"BPM reste BPM"
DJ_ColumnDuration;Durée;;;;"Playlist";"Traduire 'Durée'"
DJ_ColumnNumber;#;;;;"Playlist";"# reste #"
DJ_ColumnSong;Chansons;;;;"Playlist";"Traduire 'Chansons'"
DJ_Crossfader;Crossfader: {0}%;;;;"Mixer";"Crossfader peut rester, conserver {0}%"
DJ_CrossfaderLabel;Crossfader: {0}%;;;;"Mixer";"Conserver {0}%"
DJ_Cue;Cue;;;;"General";"Cue reste Cue"
DJ_Cue_Set;Punto Cue {0} establecido en {1};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Cue_Title;Cue;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_DeckA;Platine A;;;;"Decks";"Traduire 'Platine'"
DJ_DeckATitle;🎧 PLATINE A;;;;"Decks";"Conserver emoji 🎧"
DJ_DeckB;Platine B;;;;"Decks";"Traduire 'Platine'"
DJ_DeckBTitle;🎧 PLATINE B;;;;"Decks";"Conserver emoji 🎧"
DJ_DragTrackHere;Glissez une piste ici ⬇;;;;"Decks";"Traduire 'Glissez une piste ici', conserver ⬇"
DJ_Duration_Format;{0:mm\:ss} / {1:mm\:ss};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"Format temps - NE PAS MODIFIER"
DJ_EffectEcho;📢 ECHO;;;;"Effects";"Echo reste Echo, conserver emoji 📢"
DJ_EffectPhaser;🌀 PHASER;;;;"Effects";"Phaser reste Phaser, conserver emoji 🌀"
DJ_EffectReverb;🎵 REVERB;;;;"Effects";"Reverb reste Reverb, conserver emoji 🎵"
DJ_Effects;Effets;;;;"Effects";"Traduire 'Effets'"
DJ_Error_LoadingDeck;Error al cargar Plato {0}: {1};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Error_Title;Error;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"General";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Help_Shortcuts;Raccourcis clavier;;;;"Help";"Traduire 'Raccourcis clavier'"
DJ_Help_Title;Aide - Mode DJ;;;;"Help";"Traduire 'Aide - Mode DJ'"
DJ_HotCue_ClearAll;Effacer tous les Hot Cues;;;;"Hot Cues";"Traduire, Hot Cues peut rester"
DJ_HotCue_Delete;Supprimer Hot Cue {0};;;;"Hot Cues";"Conserver {0}"
DJ_HotCue_Set;Hot Cue {0} défini;;;;"Hot Cues";"Conserver {0}"
DJ_HotCue_Trigger;Déclencher Hot Cue {0};;;;"Hot Cues";"Conserver {0}"
DJ_HotCues;Hot Cues;;;;"Hot Cues";"Hot Cues reste identique"
DJ_LoadTrack;Charger piste;;;;"Decks";"Traduire 'Charger piste'"
DJ_Loop;Loop;;;;"Loop";"Loop peut rester"
DJ_Loop_16Beats;16 Beats;;;;"Loop";"Beats peut rester ou traduire"
DJ_Loop_2Beats;2 Beats;;;;"Loop";"Beats peut rester ou traduire"
DJ_Loop_4Beats;4 Beats;;;;"Loop";"Beats peut rester ou traduire"
DJ_Loop_8Beats;8 Beats;;;;"Loop";"Beats peut rester ou traduire"
DJ_Loop_Active;Loop actif;;;;"Loop";"Traduire 'actif'"
DJ_Loop_Inactive;Loop inactif;;;;"Loop";"Traduire 'inactif'"
DJ_LoopIn;Loop In;;;;"Loop";"Loop In peut rester"
DJ_LoopOut;Loop Out;;;;"Loop";"Loop Out peut rester"
DJ_LoopToggle;Activer/Désactiver Loop;;;;"Loop";"Traduire"
DJ_Mixer;Mixeur;;;;"Mixer";"Traduire 'Mixeur'"
DJ_MixerTitle;🎛️ MIXEUR;;;;"Mixer";"Conserver emoji 🎛️"
DJ_Pause;Pause;;;;"General";"Pause reste Pause"
DJ_Pitch;Pitch: {0:+0.0%;-0.0%;0.0%};;;;"Mixer";"Pitch reste Pitch, NE PAS modifier le format {0:+0.0%;-0.0%;0.0%}"
DJ_PitchLabel;Pitch: {0:+0.0%;-0.0%;0.0%};;;;"Mixer";"NE PAS modifier le format"
DJ_Pitch_Value;Pitch: {0:+0.0%;-0.0%;0.0%};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Mixer";"VÉRIFIER - Format sensible"
DJ_Play;Lecture;;;;"General";"Traduire 'Lecture'"
DJ_Playlist_ClearConfirm;¿Realmente desea vaciar la lista?;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Playlist";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Playlist_LoadError;Error al cargar: {0};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Playlist";"VÉRIFIER, conserver {0}"
DJ_Playlist_LoadSuccess;¡Playlist cargada con éxito!;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Playlist";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_Playlist_SaveError;Error al guardar: {0};DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Playlist";"VÉRIFIER, conserver {0}"
DJ_Playlist_SaveSuccess;¡Playlist guardada con éxito!;DÉJÀ TRADUIT;DÉJÀ TRADUIT;DÉJÀ TRADUIT;"Playlist";"VÉRIFIER LA TRADUCTION EXISTANTE"
DJ_PlaylistTitle;📋 PLAYLIST DJ;;;;"Playlist";"Conserver emoji 📋, Playlist reste Playlist"
DJ_Position;Position;;;;"General";"Traduire 'Position'"
DJ_RecordStart;Démarrer enregistrement;;;;"Recording";"Traduire 'Démarrer enregistrement'"
DJ_RecordStop;Arrêter enregistrement;;;;"Recording";"Traduire 'Arrêter enregistrement'"
